11100010100000,0010011001000,100100100001,10110000000,0111000000,100011110,01000111,0000000,001100,00011,1000,100,00,1,
11100011100001,0000001001100,100000000001,10010000001,0011000001,100011111,00000101,1000000,000101,00011,1000,100,01,1,
10000000100000,0000001101000,100000100011,10010100001,0011000001,100011110,00000111,1100000,101001,00010,1000,101,01,1,
10000011101000,0000000001000,100000100001,10011100001,0101000001,100010110,01000111,1100000,001100,00011,1100,100,00,1,
11010010100000,0000011001100,110000100011,10000000001,0010000001,100010111,01000101,1000001,000101,00010,1100,100,00,1,
10000010100010,0000011001100,110010000011,10000000001,0111000101,100010110,00000111,1000010,000100,00010,1100,100,00,1,
10000000100000,0000011101000,100010000010,10010000011,0111000001,100010111,01001101,1100010,001000,00010,1100,100,00,1,
10000011100000,0000001011100,100000100010,10011100011,0001000001,100010111,01000101,1100000,000101,00010,1100,000,00,1,
10000011100000,0001101001100,100000100011,10110100001,0111000000,100011110,01000111,1100000,000000,00010,1000,000,00,1,
11100000100011,0100011001000,100100000001,10110000000,0110000000,111010111,10000001,1000000,001100,00010,1100,100,00,1,
11000000100011,1100011001000,100000000001,10010000001,0110000001,101011111,11000001,1000000,001100,00010,1000,100,00,1,
11000011101000,0000000001000,110011100001,10000000001,1101000001,101110111,00000001,1000000,001100,00011,1100,100,00,0,
11000011100011,0000001001101,100010000001,10010000001,0011000001,100011111,00000101,1000000,000001,00010,1000,100,01,1,
10100011100000,0000001001001,100000100001,10010100001,0011000001,100110111,00000101,1000000,000001,00011,1100,101,01,0,
10000011100000,0000101001000,110010000010,10000000011,0011000001,100010111,01001101,1100010,000001,00010,1100,100,00,1,
11000010100000,0000011011100,100010100010,10011000011,0001000001,101010110,01000011,1000000,000101,00010,1100,000,00,1,
10000011100010,0000001001100,100011000011,10001000001,1101000101,100010110,00000011,1000010,000100,00010,1100,100,00,1,
11110010100000,0000011001001,100000100001,10000000001,0011000001,100011111,00000101,1000000,000001,00011,1000,101,01,1,
10000000100000,0000001101000,100010100011,10010000001,0010000001,100010111,00011101,1100001,101001,00010,1100,001,00,1,
10000011101010,0000000001000,100001000010,10001000011,1101000101,100011110,00000011,1000010,001110,00010,1000,100,00,1,
