000000000010000010100000010000001000000,00000100000000000100000000000000000000,0000000010000010000000100100000000000,101001000000000000100000000000010000,01011100000000000001000000000000010,0000000101000000000000000100000001,000001000100000000000000000010010,00000000000100000010001000001000,0000000000000001000000000100010,100000000000100000000000000000,00100000000101001000100000000,0000010000000100000001000000,000100000000100100000010000,00000000000001000100000001,1001000000000000100000000,001000000001010100000001,00010000100000001000010,0000000010101000000000,000100000110100010000,00000010000001000000,1000000000011000110,010001000001000100,00000000100010000,1001000000000100,001000000100100,00100001000000,0001000000000,000000000001,11000011000,0000001000,000001000,00000000,0100110,000000,00110,0000,000,00,0,
000000000010000010100000010000001000000,00000100000000000100000000000000000000,0000100010000011000000100100000000000,101001000000000000100000000000010000,01011000000000000000000000000000000,0000000101000000000000000100000001,010000000000000000100000000010010,00000000010100000010101000001000,1100000000000001001000000100010,100000000000100000000000000000,00100000000100001000000000001,0000010000000100000001000000,010001000000100000000010000,00000000100000000100000001,0001000100000010100011000,000000000001010100000001,00011000100000011000110,0000000010001000000000,000000100100000001000,00000010000001000000,1000000000000000100,011001000001000100,00000000100010000,1000000000000100,001000010100100,00000001010010,0001000000000,000000000001,00000001000,0100001000,000000000,00000000,0100110,000000,00010,0000,000,00,0,
000000000010000010100000010000001000000,00000100000000000100000000000000000000,0000100010000001000000100100000001000,101001000000000000100000000000010000,01011000000000000000000000000000000,0000000001000000000000010100000001,010000000100000000100000000010010,00010000010100000000001000001000,1100000000000001000000000000010,100100000000100000000000000001,00000000000001001000000000001,0000110000000100000001000000,010001000000100000000010000,00000000100000000100000001,0001000100000010100011000,000000000001010000000001,00010000100000011000010,0000000010001000000000,000000100100000001000,00000010001001000000,1000000000011000100,010001000001000100,00000000100010000,1001000000000100,001000000100110,00000000010000,0001000000000,000000000001,00000001000,0100001000,000000000,00000001,0100110,000000,00110,0000,000,00,0,
000000000010000000100000010000001000000,00000100000000000100000000000000000000,0000000011000011000000100100000000000,101011000010000000100000000000010000,00011000000000000000000000000000000,0000000001000000000000000100000001,010000000100000000000000000010010,00000000010100000010101000001000,1100000000000001001000000100010,100000000000100000000000000000,00100000000100001000000000000,0000010000000110000001000000,000001000000100000000010000,00000000100001000100000001,1001000100000010100010000,000000000001010100000001,00011000100000011010110,0000000010101000000000,000000000110000011000,00000010000001000000,1000000000000000100,010001000001000100,00000000100000000,1001000000000100,001000010100100,00000001010000,0001000000000,000000000001,00000001000,0000001000,000000000,00000001,0100110,000000,00010,0000,000,00,0,
000000000010000010100000010001001000000,00000100000000000100000000000000000000,0000000010000010000000100100001000000,101011101000000000000000100000000000,00011000000000000001000000000100000,0000000101000000000000000000000001,010000000100000000100100001000010,00000000010100000010111000001000,0000000100000000000000010100010,100000000000001000000000000000,01100000000101001000100000000,0000010000000000000001000000,000000000100000100000010000,11000000000001000100000001,1001000000000000100000000,001000000001110000000001,00010000000000011000010,0000000000101000000000,000100000100100000000,00000010000001000000,0000000000011000100,000001000001000000,00000100100010000,1000000001000100,001000011100100,00100001000000,0001000000000,000001000001,10000010000,0000001000,000000000,00000000,0100100,000100,00000,0000,000,00,0,
000000000010000000100000010000001000000,00000100000000000100000000000000000000,0000000011000010000000100100001000000,101001100000000000100000000000000000,01011100000000000000000000000000000,0000000001000000000000000100000001,010000000100000100000000000010010,00000000000100000010101000001000,0100000000000001000000010100010,100000000000000000000000000000,00100000000101001000100000001,0000010000000010000001000000,000101000000100100000010000,00000000000000000100000001,1001000100000010100010000,000000000001010100000001,00010000100000011010010,0000000010101000000000,000000000110000011000,00000010000001000000,1010000000011000100,010001000001000000,00000000100010000,1001000000000100,001000000100100,00000001000000,0001000000000,000000000001,01000001000,0000001000,000000000,00000001,0100110,000000,00100,0000,000,00,0,
000000000000000010100000010000001000000,00000100000000000100000000000000000000,0001000010000010000000100100000000000,101001001000000000000000100000000000,01011000000000000001000000000000000,0000000111000000000001000000000001,010000000100000000100100001000010,00000000010100000000101000001000,0000000000000001000000010100010,101000000000001000000000000000,01100000000101001000000010000,0000010000000100000001000000,000000000000000100000010000,10000000100001000100000000,1001000100000000100000000,001000000001010000000001,00010000000000011000010,0000000010101001000000,000100000110000010000,00000010001001000000,0000000000011000100,001001000001000000,00000000100010000,1000000011000100,001000011100000,00000001000000,0001000000000,000000000001,10000011000,0000001000,000000000,00000000,0100110,000100,00000,0000,000,00,0,
000000000000000100110000010000001000000,00000100000000000100000000000000000000,0000000010000000000000100101000001000,101001001000000000000000000000000010,00011000000000000000000000000000010,0000000111000000000000000000000001,000011000000000000100100000000010,00000000000100000000001000001000,1000000000000000000000010100010,101000000000000000000000100000,01000001000101001000100110000,0000110000000100001000000010,000001000000000100000000000,10000000000001000100000001,1001000000000000100010000,001000000001110000000001,10010000010000000000010,0000000010001000000000,000000000100000010000,00000010001001000000,0010000000011000110,010001000001000000,00000000100010000,1001000001000100,001000000100100,00100000000000,0001000000000,000100000001,10000001000,0000001000,000001000,00010000,0100110,000000,00100,0000,000,00,0,
000000000000000010100000010001001000000,00000100000000000100000000000000000000,0000000010000010000000000100000000000,101001000000000000100000000000010000,01011100000000000000000000000000000,0000000111000000000001000100000001,010001000100000000100000001010010,00000000000100000010001000001000,0100000000000001000000000100010,100000000000100000000000000000,00000000000101001000000000000,0000010000000000100001000000,000000000000100100000010000,00000000000001000100000000,1001000000000010100000000,000000000001010000000001,00000000000000001000010,0000000000101001001000,000100000110100010000,00000010000001000000,0000000000011000010,010001000001000000,00001000100010000,1001000001000100,001000010100100,00100001000000,0001000000000,000100000001,10001011000,0000001000,000001000,00000000,1100110,000110,00010,0000,000,00,0,
000000000000000100110000010000011000100,00000100000000010100000000001000000000,0000100000000000000000100101000001000,101001011000000000000000100000000010,00011000000000000000000000000100010,0000000101000000000001000000000001,000010000000000000100100000000000,00000000000000000000001000001000,0000000000000000000000000100010,101000000000001000000000100000,01000001000101001000100010000,0000110000000100001000000010,000001000000000100000000000,11000000000001000000000000,1001000000001000100000000,001000000001110000000001,10100000010000010000010,0100000000001000000000,000100000100100010000,00000010000001000000,0000000000010000100,000001000001000000,00000000100010000,0001000001100100,001000000100000,00101000000000,0000000000000,000101100001,10000001000,0000001000,000000000,00000000,0100110,000100,00110,0000,000,00,0,
